student_id,first_name,last_name,email,phone,gender,age,department_id,department,teacher_id,semester,cgpa,attendance,status,address,admission_year,created_at
S000001,Muhammad,Sami Ghumman Jutt,student1@edupredict.com,03801990881,Female,20,DEP020,Biology,T00203,1,2.7,70.0,Inactive,"0973 Rangel Alley, Lake Larry, RI 77740",2025.0,2026-08-08 12:39:20.041
S000003,Lisa,Wong,student3@edupredict.com,03367557010,Male,22,DEP019,Chemistry,T00004,6,3.79,68.0,Active,"6106 Jessica Stream, Sanchezton, IN 10917",2026.0,2026-08-08 12:39:20.043
S000005,Jeffery,Nash,student5@edupredict.com,03378182836,Male,22,DEP015,Civil Engineering,T00183,3,2.71,60.0,Active,"05837 Rojas Summit Suite 366, Jennifermouth, IL 12935",2022.0,2026-08-08 12:39:20.044
S000006,Cindy,Hall,student6@edupredict.com,03995212046,Female,24,DEP003,Information Technology,T00012,3,3.38,58.0,Active,"Unit 1013 Box 1052, DPO AA 37324",2025.0,2026-08-08 12:39:20.045
S000007,Hafsa,Ibrahim,student7@edupredict.com,03495983195,Female,25,DEP019,Chemistry,T00005,3,3.5,82.0,Inactive,"959 Karen Crossroad Apt. 165, North Randy, ID 66414",2023.0,2026-08-08 12:39:20.045
S000008,Jaime,Martinez,student8@edupredict.com,03391654178,Female,22,DEP001,Computer Science,T00165,2,2.14,74.0,Active,"53148 Gary Fort Apt. 491, North Jillburgh, WV 06014",2026.0,2026-08-08 12:39:20.046
S000009,Stephen,Howell,student9@edupredict.com,03494560936,Male,25,DEP001,Computer Science,T00187,4,3.14,75.0,Active,"5921 Maureen Court Apt. 839, Cameronview, CA 71882",2026.0,2026-08-08 12:39:20.047
S000010,John,Frank,student10@edupredict.com,03356480059,Female,28,DEP008,Accounting,T00055,8,3.67,54.0,Active,"858 Nathan Lock, Benjaminport, NJ 36748",2023.0,2026-08-08 12:39:20.047
S000011,Margaret,Huerta,student11@edupredict.com,03532062784,Male,27,DEP017,Mathematics,T00206,7,3.31,67.0,Active,"PSC 1879, Box 9096, APO AP 06941",2024.0,2026-08-08 12:39:20.048
S000012,Deborah,Holmes,student12@edupredict.com,03295827249,Female,21,DEP020,Biology,T00112,1,2.7,95.0,Active,"22823 Vanessa Gardens Apt. 727, Jessestad, MI 26475",2022.0,2026-08-08 12:39:20.049
