teacher_id,first_name,last_name,email,phone,gender,age,department_id,department,designation,qualification,experience,salary,joining_year,status,address,created_at
T00001,Sir Waqar,Ahmed,teacher1@edupredict.com,03831144804,Male,25,DEP002,Software Engineering,Professor,MS Software Engineering,9,299276.0,2013.0,Active,"37390 Serrano Valley, Port Rhondastad, AR 89752",2026-08-08 12:38:27.074
T00004,Jennifer,Olsen,teacher4@edupredict.com,03711478736,Female,44,DEP019,Chemistry,Associate Professor,MS Software Engineering,24,164185.0,2017.0,Active,"953 Sarah Garden, Schneidershire, SD 81687",2026-08-08 12:38:27.076
T00005,Yasmeen,Noor,teacher5@edupredict.com,03264290908,Female,22,DEP019,Computer Science,Assistant Professor,BS Computer Science,16,277837.0,2012.0,Active,"736 Jimenez Roads, Reedview, NJ 22804",2026-08-08 12:38:27.077
T00006,Kristen,Molina,teacher6@edupredict.com,03174037775,Female,37,DEP005,Data Science,Professor,PhD Information Technology,32,288547.0,2021.0,Active,"60104 Gregory Oval, New Jill, MH 85628",2026-08-08 12:38:27.078
T00007,Raymond,Ingram,teacher7@edupredict.com,03282711840,Male,32,DEP016,Architecture,Professor,BS Computer Science,8,87131.0,2018.0,Active,"USS Delgado, FPO AA 13985",2026-08-08 12:38:27.078
T00008,Brandon,David,teacher8@edupredict.com,03654450118,Male,60,DEP016,Architecture,Associate Professor,MS Data Science,17,243431.0,2013.0,Active,"1492 Knight Union, Matthewport, PR 40385",2026-08-08 12:38:27.079
T00009,Miguel,Kelly,teacher9@edupredict.com,03210466440,Male,35,DEP014,Mechanical Engineering,Assistant Professor,PhD Artificial Intelligence,8,221933.0,2015.0,Inactive,"5140 Jones Corners Suite 454, Luisstad, IL 32692",2026-08-08 12:38:27.081
T00010,Yolanda,Brown,teacher10@edupredict.com,03708213205,Female,59,DEP010,Economics,Associate Professor,PhD Artificial Intelligence,19,229538.0,2021.0,Active,"573 Nelson Flat, New Ryan, NH 72955",2026-08-08 12:38:27.082
T00011,Christopher,Brown,teacher11@edupredict.com,03904051401,Female,52,DEP011,Marketing,Associate Professor,MS Computer Science,20,81694.0,2023.0,Active,"71317 Martin Viaduct Apt. 397, West Thomaschester, LA 65625",2026-08-08 12:38:27.087
T00012,Pamela,Blanchard,teacher12@edupredict.com,03529073767,Female,48,DEP003,Information Technology,Associate Professor,PhD Artificial Intelligence,21,346398.0,2021.0,Active,"1212 John Rest Suite 629, Connorshire, IL 85084",2026-08-08 12:38:27.088
